participant_id,repetition,position,presented_letter,response_letter,correct
3,1,1,T,F,False
3,1,2,F,B,False
3,1,3,B,C,False
3,1,4,C,N,False
3,1,5,N,M,False
3,1,6,H,H,True
3,1,7,M,,False
